2025-12-20 21:42:51 | INFO | hx_agent | doctor  called
2025-12-20 21:45:09 | INFO | hx_agent | doctor  called
2025-12-23 23:19:14 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 20:47:26 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 20:47:26 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 20:47:26 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 22:13:25 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/README.md
2025-12-24 22:13:25 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 22:13:25 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/2.0 同步机制.md
2025-12-24 22:13:25 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/version/v0.1quire.md
2025-12-24 22:13:25 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/version/v0.12question.md
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/README.md
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/version/v0.1quire.md
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/version/v0.12question.md
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/docs/version/v0.2require.md
2025-12-24 22:17:19 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 22:17:19 | INFO | hx_agent | 获取到相对路径: 2.0 同步机制.md
2025-12-24 22:17:19 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/.venv/lib/python3.10/site-packages/setuptools-59.6.0.dist-info/top_level.txt
2025-12-24 22:17:19 | INFO | hx_agent | [get_file_by_path]: files is same
2025-12-24 22:17:19 | INFO | hx_agent | 不在仓库内，保留绝对路径: /home/xxx/Projects/AI_agent/hx_Agent/.venv/lib/python3.10/site-packages/setuptools-59.6.0.dist-info/entry_points.txt
2025-12-24 22:17:19 | INFO | hx_agent | [get_file_by_path]: files is same
